cod_segmento;cods_segmento;cod_familia;cod_familia;cod_clase;nom_clase;cod_producto;nom_producto
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10150000;Semillas, bulbos, plántulas y esquejes;10151700;Semillas y plántulas de hierba y forraje;10151705;Semillas o plántulas de veza (gachas / guija)
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10150000;Semillas, bulbos, plántulas y esquejes;10151700;Semillas y plántulas de hierba y forraje;10151706;Semillas o plántulas de guar
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10150000;Semillas, bulbos, plántulas y esquejes;10151800;Semillas y plántulas de especias;10151801;Semillas o plántulas de pimienta
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10150000;Semillas, bulbos, plántulas y esquejes;10151800;Semillas y plántulas de especias;10151802;Semillas o plántulas de vainilla
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10150000;Semillas, bulbos, plántulas y esquejes;10151800;Semillas y plántulas de especias;10151803;Semillas o plántulas de canela
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10150000;Semillas, bulbos, plántulas y esquejes;10151800;Semillas y plántulas de especias;10151804;Semillas o plántulas de clavo de olor
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10150000;Semillas, bulbos, plántulas y esquejes;10151800;Semillas y plántulas de especias;10151805;Semillas o plántulas de cilantro
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10150000;Semillas, bulbos, plántulas y esquejes;10151800;Semillas y plántulas de especias;10151806;Semillas o plántulas de jengibre
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10150000;Semillas, bulbos, plántulas y esquejes;10151800;Semillas y plántulas de especias;10151807;Semillas o plántulas de azafrán
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10150000;Semillas, bulbos, plántulas y esquejes;10151800;Semillas y plántulas de especias;10151808;Semillas o plántulas de tomillo
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10150000;Semillas, bulbos, plántulas y esquejes;10151800;Semillas y plántulas de especias;10151809;Semillas o plántulas de curry
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10150000;Semillas, bulbos, plántulas y esquejes;10151800;Semillas y plántulas de especias;10151810;Semillas o plántulas de mostaza
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10150000;Semillas, bulbos, plántulas y esquejes;10151800;Semillas y plántulas de especias;10151811;Semillas o plántulas de ginseng
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10150000;Semillas, bulbos, plántulas y esquejes;10151800;Semillas y plántulas de especias;10151812;Semillas o plántulas de champiñones
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10150000;Semillas, bulbos, plántulas y esquejes;10151800;Semillas y plántulas de especias;10151813;Semillas o plántulas de sacha inchi
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10150000;Semillas, bulbos, plántulas y esquejes;10151800;Semillas y plántulas de especias;10151814;Semillas o plántulas de achiote
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10150000;Semillas, bulbos, plántulas y esquejes;10151800;Semillas y plántulas de especias;10151815;Semillas o plántulas de kudzu
